Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Kaleb Wesson\kaleb-wesson-1,FR,2017-18,F,Ohio State,Big Ten,31,663,26.4,0.62,0.578,14.1,14.6,14.4,10.3,1.4,3.7,10.3,23.6,338,129.6,98.8,2.8,1.2,4,6.4,3.2,9.6
Donte DiVincenzo\donte-divincenzo-1,SO,2017-18,G,Villanova,Big East,31,919,21.1,0.608,0.591,4.5,13.3,9.1,19,2.5,0.6,14.4,22.4,438,121.1,101.2,2.8,1.5,4.3,6.5,3.1,9.5
Carsen Edwards\carsen-edwards-1,SO,2017-18,G,Purdue,Big Ten,34,1004,25.9,0.603,0.564,1.7,13.1,7.9,20.6,2.3,0.8,10.3,30.1,576,120.5,97.7,3.8,1.9,5.7,7.8,1.7,9.5
Kevarrius Hayes\kevarrius-hayes-1,JR,2017-18,F,Florida,SEC,30,711,16.2,0.559,0.57,10.8,13.4,12.1,3,2.4,9.3,19.5,11.7,170,110.8,97,0.8,1.4,2.2,0.7,8.9,9.5
Martin Krampelj\martin-krampelj-1,SO,2017-18,F,Creighton,Big East,19,441,27,0.687,0.693,11.3,26.8,19.6,9.3,2,3,13.1,21.4,216,129,96.1,1.6,0.9,2.5,5.4,4.1,9.5
Yante Maten\yante-maten-1,SR,2017-18,F,Georgia,SEC,31,1060,27.3,0.574,0.504,11.9,16.2,14.1,11.8,0.7,4.7,11.1,28.8,577,120.5,101.2,4,1.7,5.6,6,3.5,9.5
Daniel Gafford\daniel-gafford-1,FR,2017-18,F,Arkansas,SEC,31,692,27.4,0.596,0.607,11.1,20,15.6,6.4,1.5,11.7,9.5,24.4,352,120.7,99.4,2.2,1.2,3.4,3.1,6.3,9.4
De'Andre Hunter\deandre-hunter-1,,2017-18,G,Virginia,ACC,30,599,23.2,0.579,0.533,7.8,14.4,11.2,12,2,2.4,10.6,25.5,262,117.8,88.8,1.8,1.6,3.5,4.5,4.9,9.4
Kenny Williams\kenny-williams-3,JR,2017-18,G,North Carolina,ACC,32,985,17,0.604,0.595,3.6,9,6.4,13,2,1.6,10.6,16,339,127.3,105.6,2.5,1.1,3.6,6.5,2.9,9.4
James Bolden\james-bolden-1,SO,2017-18,G,West Virginia,Big 12,31,566,21.3,0.606,0.587,4.4,7.8,6,12.2,3,1.1,9,22.2,256,127,100.4,1.9,0.9,2.8,8.2,1.1,9.3
Aric Holman\aric-holman-1,JR,2017-18,F,Mississippi State,SEC,31,701,26.6,0.672,0.655,10.4,22.1,16.4,5.9,1.1,8,13.1,20.3,305,128.8,94.7,2.4,1.5,4,4.8,4.5,9.3
Frank Booker\frank-booker-1,SR,2017-18,G,South Carolina,SEC,32,858,20,0.614,0.58,2.7,12.9,7.5,10.7,2.5,1.1,8.8,20.6,348,125.3,99.1,2.5,1.5,4.1,7,2.2,9.2
Vladimir Brodziansky\vladimir-brodziansky-1,SR,2017-18,F,Texas Christian,Big 12,31,832,26.4,0.658,0.613,9.6,13.1,11.4,7.8,0.7,6.4,10.1,23.4,420,133,108.4,3.5,0.8,4.3,6.6,2.6,9.2
Anthony Lawrence Jr.\anthony-lawrencejr-1,JR,2017-18,G,Miami (FL),ACC,30,925,17.1,0.57,0.549,5.6,19.7,12.7,13.4,2.7,3.3,18,15.8,284,112,95.7,1.4,1.9,3.4,2.9,6.3,9.2
Dererk Pardon\dererk-pardon-1,JR,2017-18,C,Northwestern,Big Ten,32,992,22.1,0.625,0.619,12.7,15.5,14.1,8.4,1.1,7.1,13.5,17.8,361,123.9,101.1,2.7,1.6,4.3,3.9,5.3,9.2
Eric Paschall\eric-paschall-1,JR,2017-18,F,Villanova,Big East,29,856,17.8,0.619,0.576,6.3,12.2,9.4,13,2,2.3,16.4,16.8,320,123.1,101.5,2.2,1.3,3.5,4.6,4.5,9.2
Nick Ward\nick-ward-1,SO,2017-18,F,Michigan State,Big Ten,33,629,33.1,0.656,0.657,19,23.2,21.4,5.8,0.8,7.5,14.3,29.7,368,123.6,90,2.6,1.6,4.3,5.3,3.9,9.2
Kenny Wooten\kenny-wooten-1,FR,2017-18,F,Oregon,Pac-12,32,631,21.8,0.67,0.672,7.8,19.1,13.5,2.1,1.6,16.3,14.3,14.4,184,123.4,94.7,1.3,1.4,2.7,-0.4,9.6,9.2
Cody Martin\cody-martin-1,JR,2017-18,F,Nevada,MWC,31,1095,22.2,0.573,0.544,6.3,14.1,10.4,22.8,2.7,4.6,14.5,20.2,483,119.2,99.1,3,1.9,4.9,3.9,5.3,9.1
Grayson Allen\grayson-allen-1,SR,2017-18,G,Duke,ACC,31,1079,18.8,0.579,0.534,1.9,8.3,5.4,21.1,2.7,0.2,14.6,21.3,480,122.2,101.8,3.2,1.6,4.8,6.8,2.2,9
Jalen Brunson\jalen-brunson-1,JR,2017-18,G,Villanova,Big East,31,991,26.3,0.64,0.608,1.1,9.6,5.6,27.1,1.4,0.1,10.1,26,586,132.2,105.2,4.8,1.2,6,8.5,0.5,9
Bonzie Colson\bonzie-colson-1,SR,2017-18,F,Notre Dame,ACC,18,597,32.6,0.574,0.531,8.6,26,17.6,6.9,3.1,7.7,8.1,30.4,322,118,91.8,2.1,1.5,3.5,3.7,5.3,9
Corey Davis Jr.\corey-davisjr-1,JR,2017-18,G,Houston,AAC,30,889,19.5,0.634,0.615,2.9,8.9,5.9,16,1.9,0,11.9,20,368,128.2,99.5,2.9,1.5,4.4,7.5,1.4,9
Vince Edwards\vince-edwards-2,SR,2017-18,F,Purdue,Big Ten,32,1011,22,0.585,0.539,8.6,18.1,13.8,17.5,0.9,1.9,12.9,23.5,486,120.7,98,3.2,1.9,5.1,5.8,3.2,9
Sam Hauser\sam-hauser-1,SO,2017-18,G,Marquette,Big East,31,1033,22.4,0.672,0.656,3.9,18.4,11.2,15,1.8,1.5,10.3,19,437,133.2,110.2,3.7,0.8,4.4,7.6,1.4,9
Sean O'Mara\sean-omara-1,,2017-18,F,Xavier,Big East,31,473,23.5,0.665,0.626,10.3,14.5,12.6,12.6,1.2,4.6,14.8,20.3,219,128.1,103.9,1.6,0.6,2.3,5.1,3.9,9
Chuma Okeke\chuma-okeke-1,FR,2017-18,F,Auburn,SEC,31,659,19.8,0.58,0.562,10.8,18.5,14.6,9.4,1.9,3.5,9.9,16.4,249,126.6,99.7,1.8,1.1,2.9,5,3.9,9
Dru Smith\dru-smith-1,SO,2017-18,G,Evansville,MVC,22,665,24.4,0.703,0.656,2,11.8,7.1,36.4,4.1,2,24.6,23.3,307,117.3,93.5,1.9,1.5,3.5,5.4,3.6,9
Trevon Bluiett\trevon-bluiett-1,SR,2017-18,G,Xavier,Big East,31,1060,22.2,0.623,0.57,3.1,15.2,9.6,13.8,1.2,0.8,10.7,24.9,549,125.1,106.1,3.8,1.2,5,7.8,1.1,8.9
DaQuan Jeffries\daquan-jeffries-1,,2017-18,F,Tulsa,AAC,24,541,22.5,0.639,0.612,9.7,14.8,12.4,8.5,1.6,7.8,15.3,20.8,222,120.3,99.2,1.5,1,2.4,3.6,5.2,8.9
Andrew Jones\andrew-jones-3,SO,2017-18,G,Texas,Big 12,10,226,25.4,0.654,0.635,2,10.3,6.1,21.3,1.6,0.9,14.1,27.5,121,122,102.8,0.8,0.3,1.2,7.8,1.1,8.9
J.P. Macura\jp-macura-1,SR,2017-18,G,Xavier,Big East,30,881,18.9,0.593,0.54,5.7,11.1,8.6,17.4,2.4,1.4,15.8,20.7,385,118.2,104.2,2.3,1.1,3.4,5.9,3.1,8.9
Ajdin Penava\ajdin-penava-1,JR,2017-18,F,Marshall,CUSA,29,842,27.7,0.63,0.598,7.3,22.7,15.5,12.8,1.9,12.2,13.7,23,430,119.5,92.9,2.5,2,4.5,1.9,7,8.9
Stanford Robinson\stanford-robinson-1,SR,2017-18,G,Rhode Island,A-10,28,774,18.7,0.545,0.53,6.8,18.3,12.1,11.5,4.8,2.1,16.3,18.9,270,106.8,91.4,1,1.9,3,2.5,6.4,8.9
Devonte' Graham\devonte-graham-1,,2017-18,G,Kansas,Big 12,31,1160,22.1,0.579,0.523,1.8,9.9,6.1,31.5,2.5,0.2,15,23.8,614,122.4,104.1,4.1,1.5,5.7,7.3,1.6,8.8
Kevin Huerter\kevin-huerter-1,SO,2017-18,G,Maryland,Big Ten,32,1099,19.4,0.64,0.616,3.8,12.9,8.8,20.3,1.1,2.1,17.8,21.5,457,119,102.9,3,1.6,4.5,6.4,2.4,8.8
Theo Pinson\theo-pinson-1,SR,2017-18,F,North Carolina,ACC,32,932,18.7,0.566,0.496,5.6,17.1,11.5,25.7,1.9,2.1,21,18.1,380,116.8,102.3,2.2,1.4,3.5,4.2,4.6,8.8
