Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Jarred Jones\jarred-jones-1,SR,2016-17,G,Loyola (MD),Patriot,33,1020,19.6,0.514,0.463,5.6,21.1,12.9,15.9,2.6,4,16.4,28.2,462,99.6,97.7,1.1,1.9,3,-2.1,2.1,-0.1
Jarrod Jones\jarrod-jones-1,SR,2011-12,F,Ball State,MAC,30,935,23.7,0.552,0.501,9.1,26.2,17.5,7,1.4,3.1,11.3,26.2,395,112,93.1,2.6,1.9,4.5,-0.1,0,-0.1
Noel Jones\noel-jones-1,JR,2012-13,F,Syracuse,Big East,6,8,29.7,0.5,0.5,27.9,60.4,43.5,0,0,15.7,0,12.6,2,138,64.4,0,0,0.1,-2.5,2.4,-0.1
Vonn Jones\vonn-jones-1,SR,2012-13,G,Texas State,WAC,34,614,14.6,0.506,0.494,2.1,8.6,5.1,28.4,4.7,0.2,22.2,17.6,198,97.7,104,0.5,0.6,1.1,1.2,-1.2,-0.1
Frederik Jorg\frederik-jorg-1,SO,2014-15,F,Eastern Washington,Big Sky,15,68,23.6,0.668,0.684,14.1,15.6,14.9,8.8,0,8.1,16.8,22.3,33,125.1,108.6,0.3,0,0.3,0.9,-1,-0.1
Justin Joyner\justin-joyner-1,SR,2010-11,G,UC-Santa Barbara,Big West,30,823,10.6,0.549,0.553,1,7.3,4.4,26.3,3.8,0.4,32.2,9.9,156,102.5,101.4,0.6,1.1,1.7,-0.5,0.4,-0.1
Wally Judge\wally-judge-1,SR,2013-14,F,Rutgers,AAC,31,706,14.2,0.498,0.481,11.2,19.6,15.3,6.5,1.5,5.2,19,20.2,241,96.8,107.6,0.3,0.7,1,-2.4,2.3,-0.1
Wally Judge\wally-judge-1,SO,2010-11,F,Kansas State,Big 12,17,258,11.6,0.445,0.432,14.1,15.7,14.9,12.7,0.7,2.5,20.9,24.9,100,90,98.9,0,0.4,0.4,-2.3,2.3,-0.1
Emerson Kampen\emerson-kampen-1,SR,2012-13,C,Butler,A-10,18,17,3,0.333,0.333,7.4,15.2,11.2,10.8,0,12.7,40,15.4,3,60.2,97.6,0,0,0,-8.3,8.3,-0.1
Austin Karrer\austin-karrer-1,JR,2016-17,G,Texas-San Antonio,CUSA,33,631,9.6,0.492,0.435,5.3,17.6,11,8.2,1.8,0.5,14.5,7.4,96,111.3,100.6,0.5,1,1.5,-2.5,2.5,-0.1
