Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
Daniel Hurtt\daniel-hurtt-1,FR,2013-14,F,Mississippi Valley State,SWAC,31,365,11.9,0.481,0.474,5.9,13.4,9.4,5,1.2,1.6,9.1,18.3,117,101.1,111.8,0.3,0.2,0.5,-4.3,-3.8,-8.1
Abayomi Iyiola\abayomi-iyiola-1,FR,2017-18,F,Stetson,A-Sun,30,581,21,0.534,0.514,13.5,23.1,18.1,1.8,1.3,3.6,10.5,26.3,286,106.7,104.1,1,0.8,1.8,-4.1,-3.8,-7.9
Jason Johnson\jason-johnson-3,JR,2012-13,G,Utah Valley,GWC,31,889,13.8,0.524,0.51,2.1,10.1,6.1,14.7,1.9,0.4,14,20.6,286,100.8,105.8,1.1,0.7,1.7,-1,-3.8,-4.8
Jordan Johnson\jordan-johnson-2,SR,2014-15,G,Tennessee Tech,OVC,28,443,11.1,0.533,0.517,1.8,7.3,4.5,12.7,0.9,0.5,13.7,16.2,125,109.9,109.3,0.7,0.3,0.9,0.4,-3.8,-3.4
Tyler Jones\tyler-jones-5,FR,2016-17,F,Maryland-Eastern Shore,MEAC,30,377,19.5,0.58,0.554,8.6,10.1,9.4,1.8,2,3.1,12.6,24.1,162,109.2,108.1,0.7,0.3,1.1,-0.9,-3.8,-4.7
Raphael Jordan\raphael-jordan-1,JR,2011-12,G,Bryant,NEC,28,748,10.6,0.515,0.497,3.6,11.2,7.1,11.6,1.7,0.3,16.8,16.3,191,97.6,116,0.5,-0.1,0.4,-1.5,-3.8,-5.3
Bosko Kostur\bosco-kostur-1,FR,2014-15,G,Bryant,NEC,23,460,15.3,0.618,0.585,5.5,13.1,9.3,6.5,0.7,0,16,20.7,161,112.6,109.3,1,0.3,1.3,0.6,-3.8,-3.2
Louie Krogman\louie-krogman-1,JR,2010-11,G,South Dakota,GWC,33,1043,17.9,0.541,0.521,1.5,10.1,5.8,13.7,1.5,0.1,7.6,22.1,443,113.5,106.1,2.5,0.9,3.4,1.5,-3.8,-2.3
Colter Lasher\colter-lasher-1,SO,2014-15,F,Houston Baptist,Southland,28,631,19.6,0.552,0.526,6.7,12.2,9.5,14.8,2,0.7,12.7,23.7,279,114.5,107.8,1.7,0.5,2.1,2.1,-3.8,-1.7
Ethan Layer\ethan-layer-1,JR,2014-15,G,Liberty,Big South,32,358,12.7,0.583,0.547,1.7,7.8,4.9,14.3,1.2,0.7,12.5,16.1,108,118.9,108.9,0.8,0.2,1,0.9,-3.8,-2.9
Kalob Ledoux\kalob-ledoux-1,FR,2016-17,G,McNeese State,Southland,28,689,14.1,0.572,0.546,2.2,9.9,6,9.8,1,0.1,18.4,25,296,100.4,113.3,0.7,0.3,1,-0.5,-3.8,-4.3
Jean Louisme\jean-louisme-1,JR,2011-12,G,North Carolina A&T,MEAC,32,440,9.2,0.442,0.413,4.2,14,8.9,8.4,1.5,0.5,14.1,21.8,143,89.6,103.8,0,0.4,0.5,-3.6,-3.8,-7.4
